Accession,Release_Date,Pangolin,PangoVersions,Random_Sampling,Isolate,Species,Length,Nuc_Completeness,Genotype,Geo_Location,USA,Host,Isolation_Source,Collection_Date
OM694975,2022-02-16,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-LC0526195,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Ohio,OH,Homo sapiens,oronasopharynx,2022-01-28
OQ264393,2023-01-17,BQ.1.10.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0980207,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2023-01-03
MZ472697,2021-06-30,B.1.289,4.3.1/1.23.1/v0.1.12/0.3.19,,AZ-557,Severe acute respiratory syndrome-related coronavirus,29836,complete,,"USA: AZ, Navajo",AZ,Homo sapiens,oronasopharynx,2020-05-04
OM235691,2022-01-12,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-STM-8CECZ6BGV,Severe acute respiratory syndrome-related coronavirus,29866,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2021-12-30
OP823668,2022-11-14,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MT-CDC-2-6571664,Severe acute respiratory syndrome-related coronavirus,29658,complete,,USA: MT,MT,Homo sapiens,,2022-10-16
OL700405,2021-12-02,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_ELRUODDFU4IWAGM4,Severe acute respiratory syndrome-related coronavirus,29773,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-11-16
ON339145,2022-04-26,AY.39,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDPH-500040034,Severe acute respiratory syndrome-related coronavirus,29814,complete,,USA,,Homo sapiens,,2021-12-16
MZ143745,2021-05-06,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-2-4282422,Severe acute respiratory syndrome-related coronavirus,29824,complete,,USA: VA,VA,Homo sapiens,oronasopharynx,2021-04-08
OQ740032,2023-04-04,AY.118,4.3.1/1.23.1/v0.1.12/0.3.19,,B09118,Severe acute respiratory syndrome-related coronavirus,29701,complete,,USA: AR,AR,Homo sapiens,oronasopharynx,2021-08-09
OR316077,2023-07-20,B.1.369,4.3.1/1.23.1/v0.1.12/0.3.19,,Mayo14898,Severe acute respiratory syndrome-related coronavirus,29818,complete,,USA,,Homo sapiens,,2020-12-06
ON449662,2022-05-09,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-LC0592453,Severe acute respiratory syndrome-related coronavirus,29631,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-04-21
OP400808,2022-09-09,BK.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-STM-5PXAP9U2F,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-08-29
ON949270,2022-07-08,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0741664,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-06-24
OK433753,2021-10-08,AY.3,4.3.1/1.23.1/v0.1.12/0.3.19,,LA-BIE-LSUH002168,Severe acute respiratory syndrome-related coronavirus,29740,complete,,"USA: Louisiana, Orleans",LA,Homo sapiens,oronasopharynx,2021-09-30
ON079033,2022-03-28,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-ASC210734894,Severe acute respiratory syndrome-related coronavirus,29784,complete,,USA: New Jersey,NJ,Homo sapiens,,2022-03-14
OM851072,2022-02-28,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDPHE-2102870824,Severe acute respiratory syndrome-related coronavirus,29785,complete,,USA,,Homo sapiens,,2022-02-03
OL802519,2021-12-10,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_NJVEUMCKXLN45L2S,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-11-29
MZ722883,2021-08-07,B.1.429,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CHLA-PLM89525022,Severe acute respiratory syndrome-related coronavirus,29903,complete,,"USA: California,Los Angeles County",CA,Homo sapiens,oronasopharynx,2020-12-31
OR892699,2023-12-04,AY.2,4.3.1/1.23.1/v0.1.12/0.3.19,,VT-23-010078-WGS-02,Severe acute respiratory syndrome-related coronavirus,29749,complete,,USA: Vermont,VT,Homo sapiens,oronasopharynx,2021-11-13
ON176226,2022-04-07,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-VTVAS3-GSC30361,Severe acute respiratory syndrome-related coronavirus,29768,complete,,USA: Virginia,VA,Homo sapiens,,2022-01-10
OP777249,2022-11-04,BA.5.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-2-6374944,Severe acute respiratory syndrome-related coronavirus,29790,complete,,USA: NJ,NJ,Homo sapiens,,2022-08-16
OM460502,2022-01-31,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-BPHL-0143,Severe acute respiratory syndrome-related coronavirus,29798,complete,,USA: FL,FL,Homo sapiens,,2022-01-06
OM367136,2022-01-24,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-LC0472854,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-01-03
MZ376089,2021-06-11,P.1.10,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-ASC210105921,Severe acute respiratory syndrome-related coronavirus,29896,complete,,USA: North Carolina,NC,Homo sapiens,,2021-05-27
OP049262,2022-07-24,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDPHE-2103389622,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA,,Homo sapiens,,2022-06-16
MZ493535,2021-07-02,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,HI-CDC-2-4524553,Severe acute respiratory syndrome-related coronavirus,29799,complete,,USA: HI,HI,Homo sapiens,,2021-05-23
ON082334,2022-03-28,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220312373556,Severe acute respiratory syndrome-related coronavirus,29790,complete,,USA,,Homo sapiens,,2022-02-23
OL926601,2021-12-20,AY.25,4.3.1/1.23.1/v0.1.12/0.3.19,true,OH-CDC-ASC210487502,Severe acute respiratory syndrome-related coronavirus,29809,complete,,USA: Ohio,OH,Homo sapiens,,2021-11-22
OM521153,2022-02-04,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,IN-CDC-LC0502029,Severe acute respiratory syndrome-related coronavirus,29654,complete,,USA: Indiana,IN,Homo sapiens,oronasopharynx,2022-01-20
OM660299,2022-02-12,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-MMB13895386,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2022-01-25
OM198666,2022-01-10,BA.1.20,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-ASC210642740,Severe acute respiratory syndrome-related coronavirus,29799,complete,,USA: Colorado,CO,Homo sapiens,,2021-12-23
OP248947,2022-08-18,BA.5.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,,TG1356789,Severe acute respiratory syndrome-related coronavirus,29754,complete,,"USA: Arizona, Pinal",AZ,Homo sapiens,,2022-06-06
OL732287,2021-12-06,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-ASC210395039,Severe acute respiratory syndrome-related coronavirus,29816,complete,,USA: Pennsylvania,PA,Homo sapiens,,2021-11-10
ON356006,2022-04-26,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-33850892,Severe acute respiratory syndrome-related coronavirus,29785,complete,,USA,,Homo sapiens,,2022-02-09
ON772818,2022-06-15,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-LC0683820,Severe acute respiratory syndrome-related coronavirus,29661,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-06-03
MZ366678,2021-06-10,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,UT-UPHL-210528654261,Severe acute respiratory syndrome-related coronavirus,29774,complete,,USA,,Homo sapiens,,2021-05-15
OM364498,2022-01-24,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-ASC210559031,Severe acute respiratory syndrome-related coronavirus,29791,complete,,USA: Texas,TX,Homo sapiens,,2022-01-02
OP629858,2022-10-13,AY.100,4.3.1/1.23.1/v0.1.12/0.3.19,,WI-UW-6384,Severe acute respiratory syndrome-related coronavirus,29677,complete,,"USA: Wisconsin, Dane County",WI,Homo sapiens,oronasopharynx,2021-10-25
OL945506,2021-12-20,AY.119,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-ASC210510339,Severe acute respiratory syndrome-related coronavirus,29810,complete,,USA: Pennsylvania,PA,Homo sapiens,,2021-11-27
OM879441,2022-03-02,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-FG-277402,Severe acute respiratory syndrome-related coronavirus,29795,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-02-16
ON967805,2022-07-12,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,WV-CDC-LC0746284,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: West Virginia,WV,Homo sapiens,oronasopharynx,2022-06-26
OK193766,2021-09-21,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-STM-000042212,Severe acute respiratory syndrome-related coronavirus,29806,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2021-03-22
MZ860935,2021-08-23,B.1.617.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0140343,Severe acute respiratory syndrome-related coronavirus,29710,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2021-07-25
OQ616563,2023-03-13,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,,TG1412866,Severe acute respiratory syndrome-related coronavirus,29757,complete,,"USA: Arizona, Navajo",AZ,Homo sapiens,,2022-10-05
OM081743,2021-12-31,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-2-5275104,Severe acute respiratory syndrome-related coronavirus,29783,complete,,USA: MI,MI,Homo sapiens,,2021-10-02
OM842536,2022-02-27,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NC-CDC-MMB14108402,Severe acute respiratory syndrome-related coronavirus,29770,complete,,USA: North Carolina,NC,Homo sapiens,oronasopharynx,2022-02-02
OP202137,2022-08-11,BE.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-STM-ESKQTTZSJ,Severe acute respiratory syndrome-related coronavirus,29821,complete,,USA: Florida,FL,Homo sapiens,oronasopharynx,2022-07-27
MW190646,2020-10-30,A.1,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-QDX-1953,Severe acute respiratory syndrome-related coronavirus,29782,complete,,USA: CA,CA,Homo sapiens,,2020-03-15
ON295282,2022-04-20,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0571843,Severe acute respiratory syndrome-related coronavirus,29750,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2022-04-04
OR316144,2023-07-20,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,,Mayo14965,Severe acute respiratory syndrome-related coronavirus,29814,complete,,USA,,Homo sapiens,,2021-09-04
OL369830,2021-11-05,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-ASC210036180,Severe acute respiratory syndrome-related coronavirus,29880,complete,,USA: California,CA,Homo sapiens,,2021-04-29
ON344906,2022-04-26,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDC-STM-SUM3YPPJ7,Severe acute respiratory syndrome-related coronavirus,29850,complete,,USA: Massachusetts,MA,Homo sapiens,oronasopharynx,2022-04-05
OM623309,2022-02-09,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,AR-CDC-LC0513280,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Arkansas,AR,Homo sapiens,oronasopharynx,2022-01-20
OQ122536,2022-12-27,BQ.1.12,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0962742,Severe acute respiratory syndrome-related coronavirus,29720,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-12-13
ON335100,2022-04-25,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX35776847,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-04-07
OP248705,2022-08-18,BA.4.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,ID-CDC-LC0825725,Severe acute respiratory syndrome-related coronavirus,29648,complete,,USA: Idaho,ID,Homo sapiens,oronasopharynx,2022-08-06
OP813948,2022-11-14,BQ.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX43070904,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-10-28
ON199489,2022-04-10,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,VT-Broad-CRSP_M4FNA2DFSM7SIHBZ,Severe acute respiratory syndrome-related coronavirus,29804,complete,,USA: Vermont,VT,Homo sapiens,,2022-03-27
OM910585,2022-03-04,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-STM-VPQ7NYV95,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-02-19
OP371877,2022-09-06,BA.5.6,4.3.1/1.23.1/v0.1.12/0.3.19,true,AL-CDC-STM-4WBMRM3CC,Severe acute respiratory syndrome-related coronavirus,29837,complete,,USA: Alabama,AL,Homo sapiens,oronasopharynx,2022-08-21
MZ341508,2021-06-04,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-LC0063360,Severe acute respiratory syndrome-related coronavirus,29692,complete,,USA: New Jersey,NJ,Homo sapiens,oronasopharynx,2021-05-17
OP303855,2022-08-26,BA.5.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-QDX40158646,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2022-08-06
MW056116,2020-10-02,B.1.437,4.3.1/1.23.1/v0.1.12/0.3.19,,FL-BPHL-1565,Severe acute respiratory syndrome-related coronavirus,29845,complete,,USA: FL,FL,Homo sapiens,,2020-09-10
MZ579392,2021-07-20,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,VSP5007,Severe acute respiratory syndrome-related coronavirus,29896,complete,,"USA: Pennsylvania, Chester Springs",PA,Homo sapiens,,2021-05-21
OR299118,2023-07-20,AY.117,4.3.1/1.23.1/v0.1.12/0.3.19,,Mayo9847,Severe acute respiratory syndrome-related coronavirus,29816,complete,,USA,,Homo sapiens,,2021-07-17
OP736342,2022-10-28,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,SC-CDC-QDX42511378,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: South Carolina,SC,Homo sapiens,oronasopharynx,2022-10-14
OQ192442,2023-01-06,BQ.1,4.3.1/1.23.1/v0.1.12/0.3.19,,MI-CDC-QDX44772730,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-12-16
MW738563,2021-03-14,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-CZB-24380,Severe acute respiratory syndrome-related coronavirus,29813,complete,,"USA: CA, Alameda County",CA,Homo sapiens,,2020-12-07
OP887200,2022-11-23,BE.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX43427738,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-11-04
ON151291,2022-04-05,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,WA-CDC-LC0568455,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Washington,WA,Homo sapiens,oronasopharynx,2022-03-22
ON104283,2022-03-30,BA.1.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,,CO-CDPHE-2103011748,Severe acute respiratory syndrome-related coronavirus,29752,complete,,USA,,Homo sapiens,,2022-03-01
ON096170,2022-03-29,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220321741620,Severe acute respiratory syndrome-related coronavirus,29785,complete,,USA,,Homo sapiens,,2022-02-28
MW976629,2021-04-20,B.1.575,4.3.1/1.23.1/v0.1.12/0.3.19,true,NH-CDC-QDX23088800,Severe acute respiratory syndrome-related coronavirus,29777,complete,,USA: New Hampshire,NH,Homo sapiens,oronasopharynx,2021-03-17
ON667115,2022-06-02,BA.2.13,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDPHE-36156629,Severe acute respiratory syndrome-related coronavirus,29778,complete,,USA,,Homo sapiens,,2022-05-05
OP858053,2022-11-18,BK.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,MD-CDC-QDX43211976,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Maryland,MD,Homo sapiens,oronasopharynx,2022-11-01
MZ058715,2021-04-30,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MN-CDC-IBX927306521977,Severe acute respiratory syndrome-related coronavirus,29848,complete,,USA: Minnesota,MN,Homo sapiens,,2021-04-09
OP567637,2022-10-03,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDPHE-2103608888,Severe acute respiratory syndrome-related coronavirus,29755,complete,,USA,,Homo sapiens,,2022-08-12
OL933111,2021-12-20,AY.39,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-STM-7KAWV7EKE,Severe acute respiratory syndrome-related coronavirus,29889,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2021-12-05
OL945685,2021-12-20,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,CT-CDC-ASC210510698,Severe acute respiratory syndrome-related coronavirus,29809,complete,,USA: Connecticut,CT,Homo sapiens,,2021-11-28
OL749194,2021-12-07,AY.44,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-ASC210424100,Severe acute respiratory syndrome-related coronavirus,29810,complete,,USA: Michigan,MI,Homo sapiens,,2021-11-16
OM910679,2022-03-04,BA.1.18,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-STM-KHVNH54FS,Severe acute respiratory syndrome-related coronavirus,29873,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-02-22
MW776785,2021-03-19,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,SC-COVID21-0835,Severe acute respiratory syndrome-related coronavirus,29876,complete,,"USA: SC, CHARLESTON",SC,Homo sapiens,oronasopharynx,2021-03-04
MZ283512,2021-05-25,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-ASC210030170,Severe acute respiratory syndrome-related coronavirus,29882,complete,,USA: Michigan,MI,Homo sapiens,,2021-04-22
OM477137,2022-02-02,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDC-FG-248458,Severe acute respiratory syndrome-related coronavirus,29786,complete,,USA: Colorado,CO,Homo sapiens,oronasopharynx,2022-01-19
ON100483,2022-03-29,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,,VA_FBCH_2667,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: VA,VA,Homo sapiens,,2022-03-13
MW835145,2021-03-31,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,VT-CDCBI-CRSP_01409,Severe acute respiratory syndrome-related coronavirus,29782,complete,,USA: Vermont,VT,Homo sapiens,,2021-03-11
ON065023,2022-03-25,AY.25.1,4.3.1/1.23.1/v0.1.12/0.3.19,,PR-UPRRP-5199,Severe acute respiratory syndrome-related coronavirus,29793,complete,,Puerto Rico,PR,Homo sapiens,oronasopharynx,2021-11-01
OP743187,2022-10-31,BA.5.2.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-QDX42556034,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: Texas,TX,Homo sapiens,oronasopharynx,2022-10-15
OK016262,2021-09-02,B.1.617.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,FL-CDC-ASC210210609,Severe acute respiratory syndrome-related coronavirus,29829,complete,,USA: Florida,FL,Homo sapiens,,2021-08-01
ON430393,2022-05-08,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDPHE-2103140455,Severe acute respiratory syndrome-related coronavirus,29747,complete,,USA,,Homo sapiens,,2021-12-28
ON318676,2022-04-22,BA.2.3.17,4.3.1/1.23.1/v0.1.12/0.3.19,true,MP-CDC-2-5839704,Severe acute respiratory syndrome-related coronavirus,29617,complete,,USA: MP,MP,Homo sapiens,,2022-03-17
MZ053510,2021-04-29,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_3PVHE6CDULTOQ5SV,Severe acute respiratory syndrome-related coronavirus,29855,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-04-17
OM696707,2022-02-16,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,WA-CDC-LC0520640,Severe acute respiratory syndrome-related coronavirus,29653,complete,,USA: Washington,WA,Homo sapiens,oronasopharynx,2022-02-02
ON574124,2022-05-24,BA.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX36651976,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-05-04
ON530797,2022-05-17,BA.2.9,4.3.1/1.23.1/v0.1.12/0.3.19,true,IL-CDC-QDX36515460,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Illinois,IL,Homo sapiens,oronasopharynx,2022-04-30
OP505211,2022-09-23,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-STM-2WXXRJ7BR,Severe acute respiratory syndrome-related coronavirus,29823,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2022-09-10
MZ132484,2021-05-06,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,MI-CDC-STM-000058259,Severe acute respiratory syndrome-related coronavirus,29812,complete,,USA: Michigan,MI,Homo sapiens,oronasopharynx,2021-04-16
MZ436574,2021-06-23,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,NMDOH-2021126196,Severe acute respiratory syndrome-related coronavirus,29763,complete,,USA: New Mexico,NM,Homo sapiens,oronasopharynx,2021-06-07
MZ453897,2021-06-28,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,,MN-UMGC-1017,Severe acute respiratory syndrome-related coronavirus,29763,complete,,USA: Minnesota,MN,Homo sapiens,,2021-04-01
OP259298,2022-08-19,BA.5.5,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX39757894,Severe acute respiratory syndrome-related coronavirus,29718,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-08-02
ON893934,2022-07-01,B.1.369,4.3.1/1.23.1/v0.1.12/0.3.19,,Texas-HHD-527095,Severe acute respiratory syndrome-related coronavirus,29808,complete,,"USA: Texas, Houston",TX,Homo sapiens,,2020-10-26
ON076081,2022-03-26,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CO-CDPHE-2103006236,Severe acute respiratory syndrome-related coronavirus,29746,complete,,USA,,Homo sapiens,,2022-01-06
MZ284705,2021-05-25,B.1.1.7,4.3.1/1.23.1/v0.1.12/0.3.19,true,NJ-CDC-ASC210030590,Severe acute respiratory syndrome-related coronavirus,29854,complete,,USA: New Jersey,NJ,Homo sapiens,,2021-04-21
ON306034,2022-04-20,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,UT-UPHL-220417698746,Severe acute respiratory syndrome-related coronavirus,29786,complete,,USA,,Homo sapiens,,2022-02-05
MZ278463,2021-05-25,P.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,AL-CDC-2-4356444,Severe acute respiratory syndrome-related coronavirus,29862,complete,,USA: AL,AL,Homo sapiens,,2021-04-27
MZ215228,2021-05-17,B.1.526,4.3.1/1.23.1/v0.1.12/0.3.19,true,NY-CDC-ASC210069753,Severe acute respiratory syndrome-related coronavirus,29893,complete,,USA: New York,NY,Homo sapiens,,2021-04-14
MW780565,2021-03-19,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,true,AZ-CDC-LC0024410,Severe acute respiratory syndrome-related coronavirus,29716,complete,,USA: Arizona,AZ,Homo sapiens,oronasopharynx,2021-02-26
OM199420,2022-01-10,BA.1.15,4.3.1/1.23.1/v0.1.12/0.3.19,true,TX-CDC-ASC210640197,Severe acute respiratory syndrome-related coronavirus,29799,complete,,USA: Texas,TX,Homo sapiens,,2021-12-23
OM483771,2022-02-02,BA.1.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,CA-CDC-QDX32932614,Severe acute respiratory syndrome-related coronavirus,29752,complete,,USA: California,CA,Homo sapiens,oronasopharynx,2022-01-14
MZ373816,2021-06-11,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,UT-UPHL-2104808730,Severe acute respiratory syndrome-related coronavirus,29856,complete,,USA,,Homo sapiens,,2021-01-14
ON316371,2022-04-21,BA.1,4.3.1/1.23.1/v0.1.12/0.3.19,,CA-SDCPHL-013122BK2-130,Severe acute respiratory syndrome-related coronavirus,29862,complete,,USA,,Homo sapiens,,2022-01-03
OL713872,2021-12-03,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_BQ7KFZBIM27ZOSDO,Severe acute respiratory syndrome-related coronavirus,29844,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-11-18
OR608722,2023-09-28,B.1.2,4.3.1/1.23.1/v0.1.12/0.3.19,,TN-SPHL-07450,Severe acute respiratory syndrome-related coronavirus,29798,complete,,"USA: Tennessee, Shelby County",TN,Homo sapiens,oronasopharynx,2020-11-09
OP041919,2022-07-22,BA.4.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,TN-CDC-QDX38631447,Severe acute respiratory syndrome-related coronavirus,29709,complete,,USA: Tennessee,TN,Homo sapiens,oronasopharynx,2022-07-02
OP855194,2022-11-18,BF.7.4,4.3.1/1.23.1/v0.1.12/0.3.19,true,VA-CDC-LC0929152,Severe acute respiratory syndrome-related coronavirus,29687,complete,,USA: Virginia,VA,Homo sapiens,oronasopharynx,2022-11-06
OL890476,2021-12-17,AY.103,4.3.1/1.23.1/v0.1.12/0.3.19,true,MA-CDCBI-CRSP_TV2B7DOZS5P3JZFC,Severe acute respiratory syndrome-related coronavirus,29869,complete,,USA: Massachusetts,MA,Homo sapiens,,2021-12-03
ON697874,2022-06-07,BA.2.12.1,4.3.1/1.23.1/v0.1.12/0.3.19,true,PA-CDC-QDX37211059,Severe acute respiratory syndrome-related coronavirus,29724,complete,,USA: Pennsylvania,PA,Homo sapiens,oronasopharynx,2022-05-21
